ID,Class,Enroll Count,Session,Meeting Days,Meeting Times,Room,Instructor
BMEN1300_001,Discover Biomedical Engineering,119,08/19/2024 - 12/13/2024,Tuesday Thursday,8:30AM to 9:20AM,NTDP K150,"Shi,Xiaodan"
BMEN1300_301,Discover Biomedical Engineering,20,08/19/2024 - 12/13/2024,Monday,5:30PM to 8:20PM,NTDP E225B,"Shi,Xiaodan"
BMEN1300_302,Discover Biomedical Engineering,20,08/19/2024 - 12/13/2024,Monday,11:30AM to 2:20PM,NTDP E225B,"Shi,Xiaodan"
BMEN1300_303,Discover Biomedical Engineering,20,08/19/2024 - 12/13/2024,Tuesday,9:30AM to 12:20PM,NTDP E225B,"Shi,Xiaodan"
BMEN1300_304,Discover Biomedical Engineering,20,08/19/2024 - 12/13/2024,Wednesday,8:30AM to 11:20AM,NTDP E225B,"Shi,Xiaodan"
BMEN1300_305,Discover Biomedical Engineering,20,08/19/2024 - 12/13/2024,Thursday,9:30AM to 12:20PM,NTDP E225B,"Shi,Xiaodan"
BMEN1300_306,Discover Biomedical Engineering,10,08/19/2024 - 12/13/2024,Friday,8:30AM to 11:20AM,NTDP E225B,"Shi,Xiaodan"
BMEN1300_307,Discover Biomedical Engineering,10,08/19/2024 - 12/13/2024,Saturday,8:30AM to 11:20AM,NTDP E225B,"Shi,Xiaodan"
BMEN2210_001,Biomedical Circuits and Data Acquisition Best Prac,63,08/19/2024 - 12/13/2024,Monday Wednesday,9:00AM to 9:50AM,NTDP B155,"Vaidyanathan,Vijay V"
BMEN2210_301,Biomedical Circuits and Data Acquisition Best Prac,24,08/19/2024 - 12/13/2024,Monday,10:30AM to 1:20PM,NTDP F242,"Vaidyanathan,Vijay V"
BMEN2210_302,Biomedical Circuits and Data Acquisition Best Prac,30,08/19/2024 - 12/13/2024,Tuesday,9:30AM to 12:20PM,NTDP F242,"Vaidyanathan,Vijay V"
BMEN2210_303,Biomedical Circuits and Data Acquisition Best Prac,9,08/19/2024 - 12/13/2024,Wednesday,10:30AM to 1:20PM,NTDP F242,"Vaidyanathan,Vijay V"
BMEN3310_001,Engineering Measurements from Human Systems,61,08/19/2024 - 12/13/2024,Monday Wednesday,10:30AM to 11:20AM,NTDP K110,"Shi,Xiaodan"
BMEN3310_301,Engineering Measurements from Human Systems,24,08/19/2024 - 12/13/2024,Monday,2:30PM to 5:20PM,NTDP E225B,"Shi,Xiaodan"
BMEN3310_302,Engineering Measurements from Human Systems,20,08/19/2024 - 12/13/2024,Tuesday,2:00PM to 4:50PM,NTDP E225B,"Shi,Xiaodan"
BMEN3310_303,Engineering Measurements from Human Systems,17,08/19/2024 - 12/13/2024,Thursday,2:00PM to 4:50PM,NTDP E225B,"Shi,Xiaodan"
BMEN3311_001,Biomedical Signal Analysis,63,08/19/2024 - 12/13/2024,Monday Wednesday,1:00PM to 1:50PM,NTDP K110,"Li,Lin"
BMEN3311_301,Biomedical Signal Analysis,40,08/19/2024 - 12/13/2024,Wednesday,2:00PM to 4:50PM,NTDP F242,"Li,Lin"
BMEN3311_302,Biomedical Signal Analysis,23,08/19/2024 - 12/13/2024,Thursday,9:30AM to 12:20PM,NTDP F242,"Li,Lin"
BMEN3350_001,Biomedical Transport Phenomena,59,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP K120,"Yang,Yong"
BMEN4007_001,Biomedical Experimental Design and Data Analysis,22,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP B155,"Meckes,Brian Richard"
BMEN4200_001,Introduction to Biochemical Engineering,10,08/19/2024 - 12/13/2024,Tuesday Thursday,10:00AM to 11:20AM,NTDP E264,"Lee,Moo-yeal David"
BMEN4212_001,Senior Design I,50,08/19/2024 - 12/13/2024,Friday,9:30AM to 11:20AM,NTDP K120,"Shi,Xiaodan"
BMEN4212_302,Senior Design I,18,08/19/2024 - 12/13/2024,Wednesday,2:30PM to 5:20PM,NTDP K130,"Shi,Xiaodan"
BMEN4212_303,Senior Design I,16,08/19/2024 - 12/13/2024,Friday,5:30PM to 8:20PM,NTDP K130,"Shi,Xiaodan"
